UNITID,mean_earnings_after10,median_earnings_after10,Sat_Mp_Critical_Reading,Sat_Mp_Math
203845,57700,45800,530.0,560.0
204024,55400,47100,600.0,640.0
204185,48600,42900,485.0,515.0
204194,50000,43600,530.0,520.0
204200,44600,41400,500.0,515.0
204264,43500,39600,485.0,515.0
204468,43900,42600,453.0,455.0
204501,45500,40800,680.0,670.0
204617,47100,41000,470.0,485.0
204635,72600,63500,555.0,578.0
204796,53600,46100,605.0,680.0
204857,45800,40500,545.0,550.0
204936,46900,43100,565.0,550.0
205957,42700,37700,605.0,565.0
206084,52800,43800,520.0,545.0
206330,40400,35200,455.0,440.0
206349,50400,47800,505.0,495.0
206437,48300,43500,495.0,500.0
206491,38400,34200,425.0,410.0
206507,41900,40000,460.0,460.0
206589,53000,46300,595.0,615.0
206604,46100,39500,530.0,540.0
206613,46100,39500,436.0,486.0
206622,58200,51600,535.0,565.0
206695,40200,35900,480.0,490.0
206817,37000,34500,420.0,410.0
206835,53500,50900,460.0,505.0
207041,42200,36800,400.0,535.0
207157,38700,34500,450.0,420.0
207263,41000,35800,474.0,510.0
207324,43300,38500,545.0,535.0
207388,55300,46500,535.0,550.0
207403,45000,40500,530.0,513.0
207458,51100,42800,565.0,544.0
207500,61900,51100,593.0,610.0
207582,43100,37600,509.0,500.0
207722,36400,32000,448.0,465.0
207856,32300,29300,430.0,430.0
207971,60500,48500,620.0,625.0
208488,49100,43300,505.0,495.0
208646,44100,41200,465.0,470.0
208822,51000,45100,540.0,540.0
209056,55000,46200,645.0,635.0
209065,60300,55200,525.0,510.0
209409,45700,43100,487.0,485.0
209506,57800,56600,510.0,530.0
209542,56700,49600,555.0,560.0
209551,51300,44800,550.0,550.0
209612,51400,46600,560.0,560.0
209807,50800,44700,530.0,515.0
209825,62500,58800,600.0,590.0
209922,52700,42200,705.0,675.0
210146,43400,39000,520.0,495.0
210331,40200,37600,540.0,520.0
210429,43400,39700,480.0,475.0
210739,54700,49700,535.0,525.0
210775,47300,44500,490.0,495.0
211088,48000,44100,555.0,550.0
211158,48100,44500,480.0,490.0
211273,61000,54600,670.0,665.0
211291,82400,70800,630.0,660.0
211352,49600,46600,485.0,480.0
211361,44800,41600,465.0,455.0
211431,44200,39700,490.0,480.0
211440,103000,83600,705.0,760.0
211468,48700,46700,495.0,490.0
211477,37700,35300,390.0,395.0
211583,46800,43600,480.0,480.0
211644,40600,37900,470.0,470.0
211981,44700,42100,490.0,490.0
212054,78000,68800,575.0,615.0
212106,68200,58500,568.0,575.0
212115,47200,44600,470.0,470.0
212133,48100,42500,520.0,515.0
212160,38100,35400,480.0,470.0
212197,55000,51300,555.0,520.0
212601,55100,48100,505.0,520.0
212656,43300,38700,530.0,535.0
212832,56500,54300,465.0,470.0
212911,75100,60700,710.0,710.0
212984,54300,52700,465.0,465.0
212993,36800,34500,495.0,470.0
213011,54700,50600,495.0,475.0
213020,44200,40800,475.0,470.0
213303,36800,33100,445.0,430.0
213349,43900,41600,490.0,490.0
213358,42800,40400,455.0,460.0
213367,61100,58000,490.0,485.0
213385,80500,68600,630.0,665.0
213400,37900,34300,515.0,495.0
213507,48500,45800,540.0,555.0
213543,94100,81900,635.0,690.0
213598,36200,34600,420.0,418.0
213613,43400,41500,470.0,475.0
213668,49400,45700,510.0,520.0
213774,41300,38100,390.0,390.0
